#Result from not optimized build
~/misc-cpp/evaluateEigen$ g++ -std=c++17 main.cpp -I ~/pkg/eigen/install/include/eigen3 -o test

~/misc-cpp/evaluateEigen$ ./test 1 1000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000355         0.000916        2.581372
dim=2           0.000584         0.000736        1.260366
dim=3           0.002169         0.002390        1.101826
dim=4           0.001697         0.001764        1.039410
dim=5           0.004229         0.005222        1.234908
dim=6           0.003999         0.004107        1.027049
dim=7           0.008612         0.005836        0.677703
dim=8           0.007865         0.007190        0.914231
dim=10          0.014476         0.014122        0.975516
dim=20          0.094646         0.100227        1.058962

~/misc-cpp/evaluateEigen$ ./test 1 1000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000145         0.000764        5.276004
dim=2           0.000400         0.000530        1.324107
dim=3           0.001810         0.002415        1.334244
dim=4           0.001552         0.001799        1.159057
dim=5           0.004482         0.006063        1.352789
dim=6           0.004408         0.004830        1.095678
dim=7           0.009398         0.007476        0.795411
dim=8           0.008084         0.007083        0.876238
dim=10          0.014495         0.013905        0.959304
dim=20          0.092592         0.086228        0.931267

~/misc-cpp/evaluateEigen$ ./test 100 1000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.021418         0.091556        4.274778
dim=2           0.057740         0.075306        1.304228
dim=3           0.188514         0.243996        1.294310
dim=4           0.158879         0.175558        1.104983
dim=5           0.447847         0.516555        1.153418
dim=6           0.424490         0.436891        1.029215
dim=7           0.831072         0.568109        0.683585
dim=8           0.774926         0.815518        1.052383
dim=10          1.430253         1.365729        0.954887
dim=20          9.526746         9.306976        0.976931

~/misc-cpp/evaluateEigen$ ./test 100 1000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.013705         0.066467        4.849755
dim=2           0.036274         0.047564        1.311234
dim=3           0.158788         0.212054        1.335450
dim=4           0.123601         0.141422        1.144187
dim=5           0.391726         0.472464        1.206107
dim=6           0.337201         0.364112        1.079809
dim=7           0.771893         0.525930        0.681351
dim=8           0.665530         0.669377        1.005780
dim=10          1.308669         1.294287        0.989010
dim=20          8.905574         8.964632        1.006632

# Result from optimized build

~/misc-cpp/evaluateEigen$ g++ -std=c++17 -O3 -march=native -ffast-math main.cpp -I ~/pkg/eigen/install/include/eigen3 -o test
~/misc-cpp/evaluateEigen$ ./test 1 1000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.000034        573.666667
dim=2           0.000022         0.000050        2.208272
dim=3           0.000037         0.000058        1.560280
dim=4           0.000010         0.000058        5.848947
dim=5           0.000022         0.000101        4.538648
dim=6           0.000024         0.000106        4.451179
dim=7           0.000048         0.000175        3.628927
dim=8           0.000093         0.000147        1.589632
dim=10          0.000282         0.000315        1.117513
dim=20          0.000489         0.000538        1.099513

~/misc-cpp/evaluateEigen$ ./test 1 1000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.000009        129.571429
dim=2           0.000001         0.000016        17.263158
dim=3           0.000014         0.000028        2.058586
dim=4           0.000001         0.000014        11.471545
dim=5           0.000019         0.000081        4.179353
dim=6           0.000019         0.000043        2.336030
dim=7           0.000037         0.000130        3.554516
dim=8           0.000078         0.000075        0.963257
dim=10          0.000143         0.000140        0.979723
dim=20          0.000481         0.000451        0.937453

~/misc-cpp/evaluateEigen$ ./test 100 1000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.003204        8899.175000
dim=2           0.000616         0.003771        6.125196
dim=3           0.003584         0.006069        1.693446
dim=4           0.001035         0.005241        5.064917
dim=5           0.002420         0.010082        4.166719
dim=6           0.002580         0.007035        2.727088
dim=7           0.005141         0.016404        3.190807
dim=8           0.008961         0.011124        1.241455
dim=10          0.016828         0.023116        1.373637
dim=20          0.063274         0.070506        1.114309

~/misc-cpp/evaluateEigen$ ./test 100 1000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.000566        1767.890625
dim=2           0.000073         0.001019        14.038768
dim=3           0.000958         0.002025        2.114078
dim=4           0.000106         0.001471        13.910349
dim=5           0.001707         0.003855        2.258989
dim=6           0.001942         0.004583        2.359550
dim=7           0.003720         0.013340        3.585954
dim=8           0.010778         0.007794        0.723126
dim=10          0.016047         0.015329        0.955292
dim=20          0.045945         0.046118        1.003780

~/misc-cpp/evaluateEigen$ ./test 100 100000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.059385        371158.468750
dim=2           0.005861         0.110246        18.810818
dim=3           0.095415         0.209677        2.197530
dim=4           0.010510         0.150539        14.322781
dim=5           0.172209         0.391635        2.274177
dim=6           0.192117         0.454078        2.363554
dim=7           0.382771         1.194232        3.119962
dim=8           0.829636         0.827999        0.998027
dim=10          1.479123         1.476790        0.998423
dim=20          4.797225         4.788261        0.998131

~/misc-cpp/evaluateEigen$ ./test 100 100000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.182198        1138740.612500
dim=2           0.057461         0.306017        5.325598
dim=3           0.251524         0.366377        1.456626
dim=4           0.078406         0.268194        3.420605
dim=5           0.189283         0.523859        2.767601
dim=6           0.218005         0.607977        2.788823
dim=7           0.470342         1.314185        2.794107
dim=8           0.790790         0.973232        1.230708
dim=10          1.499415         1.647801        1.098963
dim=20          4.897058         5.126871        1.046929

~/misc-cpp/evaluateEigen$ ./test 1 10000000 0
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.273445        3418064.400000
dim=2           0.058305         0.287006        4.922480
dim=3           0.253663         0.341877        1.347760
dim=4           0.074479         0.258929        3.476557
dim=5           0.216679         0.547439        2.526491
dim=6           0.217480         0.587269        2.700342
dim=7           0.454027         1.444758        3.182100
dim=8           0.837750         0.973486        1.162024
dim=10          1.545203         1.588699        1.028149
dim=20          4.935418         5.180429        1.049643

~/misc-cpp/evaluateEigen$ ./test 1 10000000 1
Averaged Time:  static(sec)      dynamic(sec)    R(dynamic/static)
dim=1           0.000000         0.058532        532110.509091
dim=2           0.005510         0.112759        20.463379
dim=3           0.100442         0.206976        2.060657
dim=4           0.010466         0.147600        14.103040
dim=5           0.175645         0.446758        2.543531
dim=6           0.203062         0.469809        2.313618
dim=7           0.380053         1.212946        3.191515
dim=8           0.815826         0.783545        0.960431
dim=10          1.471187         1.487528        1.011107
dim=20          4.738546         4.711694        0.994333

